sequence	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60
lcl|NC_071985.2_cds_XP_024110122.1_78	0.7828092109917015	-0.5731133654230861	-2.7336054367228058	0.9182091743035754	0.42997046151013385	-2.545092941770349	0.49105900594734886	-0.26990892688798757	-1.450282787778937	0.7400399737115838	1.6874864920558388	-1.9439660897147828	-0.3867086758899995	-1.1511507756148656	1.0012985104189005	1.2934540377861348	-0.7176465137446553	-1.3530625399639375	1.0709477888596668	-0.8944487960262832	-1.2278163775626383	1.1410086722478296	0.13004791284635836	-0.23443871244620582	1.1645694125600572	-0.36179648266877457	0.4722573104930353	-0.8220223319244838	1.79798625494112	1.8391295581562885	-1.543880311045982	0.5687602736835561	-0.42333076941439807	0.4205268813097517	0.8277342104565882	0.20977525244506923	-0.6161187014563116	0.13459637063035695	-0.16921806862246297	0.3410272364152941	-0.2912892383481152	2.184314655247319	-0.04432282471039216	2.9837243786801082e-15	-2.6367796834847468e-15	2.4841240175987878e-15	-2.7755575615628914e-16	8.326672684688674e-16	0	-9.159339953157541e-16	-8.98586760555986e-16	-6.800116025829084e-16	-2.456368441983159e-15	8.465450562766819e-16	-1.1657341758564144e-15	8.205242041370298e-16	-2.761679773755077e-15	9.71445146547012e-17	-2.198762005800603e-16	2.3843774177301214e-15
lcl|NC_071985.2_cds_XP_054405874.1_108	1.6183442736116285	-0.9529369564428208	1.295447488569924	0.7733587972501883	0.5708208094249565	-0.06498565923216887	-0.3866829137137826	1.2518890522992014	-0.9691440682853438	-1.3806116085916136	0.39824875375010177	-0.4179289454892522	0.7096115310435948	-0.45534808878324684	-0.47696534405771246	0.7464894933968924	0.28484752645042277	-0.2988450508592527	-0.206168036415253	1.4211708274303523	0.6281235177847989	-0.031036095188429747	1.420389556006449	-0.3845163230614908	0.4859866031158209	-1.5333019105858232	-0.3190844274793302	0.40099505185547635	0.795507653326342	0.43372025986182133	0.3471651071606847	0.29549163037478215	-0.23259724852388072	0.9328519472293169	0.9397965676352669	0.1913906823040331	0.3424522869285497	0.7028992414362835	1.1888377981697313	0.6256207574273825	1.3487293288695845	0.057262815180635786	0.01722904313922063	-2.0339632755828063e-15	-3.82127055692516e-15	-2.1281804443717967e-15	-2.546574062733953e-15	2.0834028946481453e-15	1.007874339542525e-15	1.7915356698150475e-15	1.1015494072452725e-16	1.908195823574488e-15	4.2847669856627135e-16	3.422175737233246e-15	2.110291108525786e-15	-4.985161589088349e-16	1.4090291433621616e-15	6.21247844834194e-16	2.580672221058622e-16	-8.792879618857441e-16
lcl|NC_071985.2_cds_XP_024102199.2_131	2.514932340688996	-0.057837598568784294	-0.5165251920308548	0.8153448369368369	0.6945140574877854	1.758893819924617	-1.2925798779446305	-1.1996617334226154	-0.621804047653315	1.0063946042575427	-0.3264440374964275	-1.0872844710895389	1.876456333024597	-0.4309212629901475	1.836458190423364	0.9007236130620877	0.19695718139417984	-0.22324558358766883	-0.8793765118752583	-0.08446002021509637	0.6497417162357888	-1.6061879523062295	-0.8227152972996687	0.08542814574562717	-0.9572412367523295	0.12213274242822267	-0.15368531389635448	0.26384810732069625	0.36142105211767106	0.5432702970137738	0.19751627652794487	0.31149412575980034	0.1524129519516683	0.8383506236231187	0.60171672697794	0.014419323545177165	0.14369982542876317	-0.3966647575866188	0.44482747814807355	0.3631079896675963	0.34065535295319	-0.44355952072348215	0.06524744669594447	6.016021014687567e-15	-1.9585028043778152e-15	-1.6601303665098044e-15	-1.3600232051658168e-15	-7.355227538141662e-16	-1.582067810090848e-15	-1.4710455076283324e-15	-2.8189256484623115e-16	8.326672684688674e-16	-1.1102230246251565e-15	-2.9108659926890823e-15	5.915407053080912e-16	9.020562075079397e-16	9.645062526431047e-16	-5.568462357885551e-16	5.951185724772934e-16	-9.26559176606112e-16
lcl|NC_071985.2_cds_XP_054406032.1_156	0.685143234588023	0.996034944570497	2.2383814267933713	-0.5645475987004245	-2.389966701069977	-3.01706694403957	-1.6018294539035831	-0.40941150586265246	-0.8278023782651832	0.9615390766910351	0.30688359577814356	1.6102660611922217	-0.4628626064887383	-1.2406066192116685	-0.6162844560583282	-0.641320975400414	0.28546954343551834	1.0955533250219784	-1.9354759066102398	1.0772823450066717	1.1623176375457978	0.2154312291280837	-0.6090680176164613	-0.21736856854936792	-1.2142551151899614	-0.8416061537153068	0.5395468675245639	-0.8399164890199317	-1.1564799596405584	-1.2735558188247307	1.6071756037861318	-0.17238145639817992	-0.6028538693191853	-0.11042659098019697	-0.41457555001444213	-0.5386320908685174	-0.2628214852318317	-1.5816050923858904	0.8181924778231543	-0.47683513360526253	1.146571032904146	-0.17880270814212199	-0.04036936021268039	-4.524158825347513e-15	-1.1275702593849246e-15	1.1969591984239969e-15	-3.2751579226442118e-15	-1.2490009027033011e-15	2.7200464103316335e-15	-1.249000902703301e-16	1.0286910212542466e-15	1.4849232954361469e-15	1.0547118733938987e-15	2.6922908347160046e-15	5.2562121322097255e-16	-2.949029909160572e-17	-1.1102230246251565e-16	-1.1518563880486e-15	-1.9875594226004267e-15	7.849623728795052e-16
lcl|NC_071985.2_cds_XP_009245546.2_194	-0.8230887542829499	1.0929096692393527	0.7136239641134339	0.21698036633207501	1.3383689592272099	-1.5189819571821361	-0.23324847391303258	-1.4326376375214374	1.227292178622494	-0.7807585361039249	-1.1624933571621088	0.7966413620742535	-0.3071344407537028	-1.272826603378812	-0.04399750505856452	-0.6444618034615093	1.524971405722551	-0.8572109201370846	0.5626305041840522	0.8543566966802081	-1.833921341086349	-0.3048805622626397	1.0189992272274273	1.1667191845712703	0.31991678008657704	0.41300175121190413	0.06745085007949236	-0.9224439801204884	-1.3351445101392263	-0.5370681952309205	-1.044151016051391	0.44307386350682204	-0.4540356737896902	1.2804991504028336	-0.3523047354094003	-0.0799552465605769	-0.2558556300529758	0.048038686390404685	0.963482825624228	-0.6199846175627609	0.14518123561658094	-0.9179473558897022	0.005764937677016816	-1.6514567491299204e-15	3.7296554733501353e-16	1.2559397966072083e-15	2.7755575615628914e-17	5.551115123125783e-16	2.0539125955565396e-15	0	1.5976803213746393e-15	1.0408340855860843e-16	1.8041124150158794e-16	2.5326962749261384e-15	-1.3634926521177704e-15	-9.410874857174178e-16	2.345346139520643e-15	1.2108369862318114e-15	-7.530868290084314e-16	-4.0158848468863084e-16
lcl|NC_071985.2_cds_XP_024091551.2_225	-1.3139695800529705	-1.2793490477218765	0.5250473890135571	1.1039213042441416	0.45853501090113596	-2.5405937635237645	-2.1495077015505255	-0.1994128749211052	-1.2398363156132157	-0.2342310863641925	2.1104183126344918	-1.2642241340022577	-1.6721243656303024	0.9707871272591247	-1.4765705917168668	1.2887758790383548	-0.01733298749095974	0.0201004707760844	1.2046706700610774	0.8747259492576387	-0.6845199006829042	-0.38134714011132415	1.7553915029235405	-0.8739878726440272	1.442674128384927	3.0539005266374026	-2.5383925375012675	-0.8068125266846483	-1.5550421277952502	1.2745092222519356	-1.781700660993791	0.5790800419473959	0.49658362043693566	-1.303688241113818	0.6259445650930668	-1.1164666559221077	-1.6393154350436483	-2.0178852238495044	0.3130095129351998	-0.9471519423474641	-0.44854388368029674	0.12031414590733024	-0.06092160540065601	-3.858025010572419e-15	-3.698430450782553e-15	-2.8449465006019636e-16	3.885780586188048e-15	1.2212453270876722e-15	9.992007221626409e-16	2.0261570199409107e-15	4.0592529337857286e-16	-3.969047313034935e-15	2.6922908347160046e-15	4.1494585545365226e-15	-4.15639744844043e-15	1.6445178552260131e-15	-2.0122792321330962e-15	2.636779683484747e-16	-1.3244613739082922e-15	9.939965517347105e-16
lcl|NC_071985.2_cds_XP_054416820.1_229	1.537899053434385	0.5612098383234015	-2.345387446104739	-0.8005351095835782	-1.3026059057923256	1.213342553704561	-0.07581880431104075	-1.1941642896378295	-1.0557896522821664	-0.8820563679116336	0.9612795108683064	-0.7272139671376532	-0.5533789930056195	-0.8623566814065722	-1.057264779569088	-0.5744737428795547	2.3573366331178907	0.36008739235676085	-0.14068806925674945	-0.7742612906314557	0.9176361209865919	-0.15582225226796925	2.4824847025792898	-1.8046543533552404	0.9959964342789812	-1.3418860647190562	0.2557749106752759	0.4797238361861715	0.685639382110233	0.4168160265101242	-1.108887274205829	-0.79981683986999	-0.05534326480148113	0.6621076044755272	0.9775867994297888	1.0034494988961102	-0.3127775030506528	0.481005845316865	0.5898834269078643	0.02470645627701918	0.11958772547263506	-0.3620528765585818	0.04952546630795313	-2.2579594444183115e-15	-4.626290669995647e-16	1.5942108744226857e-15	-3.2612801348363973e-16	-8.716985466783456e-16	1.889113865338743e-15	9.254749744336266e-16	-1.3022894394809637e-15	-1.5655879370690684e-15	1.3385560021506038e-15	5.555451931815725e-16	-1.3028857506758307e-15	-1.061650767297806e-15	2.0641040959779033e-15	9.042246118529107e-16	1.2475440060340237e-15	3.6036169707986954e-17
lcl|NC_071985.2_cds_XP_054416953.1_247	3.702069005248547	-3.7810561294166063	0.4313403543415709	2.2340517414085714	1.841262070887935	-3.0889018711050107	0.4546539291599568	-1.5975157078968671	-1.3519572400642281	-1.8245563137383534	-0.9486937626728453	0.2699044308600558	-1.8258961118009571	1.2137745515608256	-2.9699481895736826	1.1381496881856328	1.040109401144145	0.3400688514073209	-0.8903302696622595	-0.5252785182509452	-1.4463222526452226	-1.1860463107363688	0.590993790112607	1.0020901905841122	-0.304594783323501	2.2903735667476064	-1.2715639903551308	2.655149417280904	0.45755067657374193	-1.8616795827906378	0.21014337305494993	1.1701424411546424	0.35660209490228406	-2.9910688241452976	1.1254557787012345	0.4971631203214031	0.7637986183203324	-1.5757814076304673	-0.5365041385555247	-1.1215832932640493	1.0253901618444392	2.028949896273244	-0.0050630584250143445	-1.762479051592436e-15	-2.8813756935974766e-15	-2.8015784137025435e-15	-6.078471059822732e-15	-1.3877787807814457e-15	-4.524158825347513e-15	7.494005416219807e-16	4.244868345715247e-15	-4.378442053365461e-15	4.975186929101483e-15	-3.8163916471489756e-16	9.488937413593135e-16	2.2360585605341043e-15	-4.170275236248244e-15	9.402201239794294e-16	1.3032110113275763e-16	-1.2390262427164345e-15
lcl|NC_071985.2_cds_XP_054417034.1_261	0.6297351677845142	-0.46003312111231665	0.11681089063000227	-0.5792882721792754	-0.4803466960697996	1.056792384120792	-1.0204636169462804	-0.6086661355089922	-0.3632819599603834	-0.6808673024021238	0.9231458505800076	0.19922814913752288	0.2636397691021571	-1.1283215169979814	-0.5643606554755067	-0.4177635168047924	-0.359910764478696	0.06953147564460489	0.43554763292650295	0.7170533944295091	-0.08407137737249433	-0.17555597340789847	-0.03928358241849629	-0.23117260308937637	0.8495653198895066	-0.8579985543661023	0.11203926965383129	-0.033364342008160866	-0.5607547678698637	-0.2871153118815085	0.6659761954866102	-0.18951944968421852	0.0998013534342139	0.049896660859900716	0.6284397583754144	0.11250824032477395	0.009137727482083469	-0.11250156694576627	-0.27716936957657445	0.3610382979421192	-0.4878873939594924	0.7126365798830123	-0.0027089771772771045	-2.345346139520643e-15	-2.014013955609073e-15	3.391384395534658e-16	1.4155343563970746e-15	-4.579669976578771e-16	6.661338147750939e-16	1.9220736113823023e-15	2.419939248987646e-16	6.245004513516506e-17	9.645062526431047e-16	-3.122502256758253e-17	-5.819997261902188e-16	6.89986262569775e-16	3.885780586188048e-16	-1.1466522176206695e-15	-2.9501141113330576e-16	-5.277896175659436e-16
lcl|NC_071985.2_cds_NP_001359294.1_265	0.3422823329706966	-0.09242682295630449	-0.7731733181529229	0.9822380645311366	-0.03459259239800576	0.7642399896826386	-1.0403884830411678	0.8284820728749627	-1.9351057091972328	-0.19726047093383112	1.037119108627643	1.6216651771157864	-0.5293335449600023	0.26332630064624074	-0.6894744744881508	1.5868008497385724	-0.331268886331453	0.771814392938039	1.8620237905212682	-0.37411813168333075	1.6037999045447415	-0.14985077715521025	-0.0359450677771808	-1.3385109570805682	-0.5550644356662546	-1.3978785919890537	-0.33330590764938217	0.8955242759208193	0.9260325105582357	0.5735009042341456	1.0372377114403504	-1.0742897621831968	1.2200101924619366	0.6058759302075856	-0.8388148123095442	-0.08299167714482868	-0.3583758418693456	-0.14590436897631354	0.6958104190558059	-0.5086863185411118	0.12928856683873546	-0.832447955991234	-0.04487207874152921	-3.903127820947816e-15	-2.8362728832220796e-16	-3.944761184371259e-15	8.743006318923108e-16	-1.5890067039947553e-15	7.355227538141662e-16	5.551115123125783e-17	-2.282462413516484e-15	9.454242944073599e-16	-1.4814538484841933e-15	1.9012569296705806e-15	1.6596966856408102e-15	8.40473524110763e-16	-2.0122792321330962e-16	-2.2065682614424986e-15	-4.338434993200746e-16	7.784571598445922e-16
